Survived,Pclass,Sex,Age,Embarked,Title,Deck,FamilySize,IsAlone,FarePerPerson
0,3,male,22.0,S,Mr,U,2,0,3.625
1,1,female,38.0,C,Mrs,C,2,0,35.64165
1,3,female,26.0,S,Miss,U,1,1,7.925
1,1,female,35.0,S,Mrs,C,2,0,26.55
0,3,male,35.0,S,Mr,U,1,1,8.05
0,3,male,26.0,Q,Mr,U,1,1,8.4583
0,1,male,54.0,S,Mr,E,1,1,51.8625
0,3,male,2.0,S,Master,U,5,0,4.215
1,3,female,27.0,S,Mrs,U,3,0,3.7111
1,2,female,14.0,C,Mrs,U,2,0,15.0354
1,3,female,4.0,S,Miss,G,3,0,5.566666666666666
1,1,female,58.0,S,Miss,C,1,1,26.55
0,3,male,20.0,S,Mr,U,1,1,8.05
0,3,male,39.0,S,Mr,U,7,0,4.4678571428571425
0,3,female,14.0,S,Miss,U,1,1,7.8542
1,2,female,55.0,S,Mrs,U,1,1,16.0
0,3,male,2.0,Q,Master,U,6,0,4.854166666666667
1,2,male,31.0,S,Mr,U,1,1,13.0
0,3,female,31.0,S,Mrs,U,2,0,9.0
1,3,female,31.0,C,Mrs,U,1,1,7.225
0,2,male,35.0,S,Mr,U,1,1,26.0
1,2,male,34.0,S,Mr,D,1,1,13.0
1,3,female,15.0,Q,Miss,U,1,1,8.0292
1,1,male,28.0,S,Mr,A,1,1,35.5
0,3,female,8.0,S,Miss,U,5,0,4.215
1,3,female,38.0,S,Mrs,U,7,0,4.483928571428572
0,3,male,26.0,C,Mr,U,1,1,7.225
0,1,male,19.0,S,Mr,C,6,0,43.833333333333336
1,3,female,18.0,Q,Miss,U,1,1,7.8792
0,3,male,26.0,S,Mr,U,1,1,7.8958
0,1,male,40.0,C,Rare,U,1,1,27.7208
1,1,female,40.0,C,Mrs,B,2,0,73.2604
1,3,female,18.0,Q,Miss,U,1,1,7.75
0,2,male,66.0,S,Mr,U,1,1,10.5
0,1,male,28.0,C,Mr,U,2,0,41.0854
0,1,male,42.0,S,Mr,U,2,0,26.0
1,3,male,26.0,C,Mr,U,1,1,7.2292
0,3,male,21.0,S,Mr,U,1,1,8.05
0,3,female,18.0,S,Miss,U,3,0,6.0
1,3,female,14.0,C,Miss,U,2,0,5.62085
0,3,female,40.0,S,Mrs,U,2,0,4.7375
0,2,female,27.0,S,Mrs,U,2,0,10.5
0,3,male,26.0,C,Mr,U,1,1,7.8958
1,2,female,3.0,C,Miss,U,4,0,10.3948
1,3,female,19.0,Q,Miss,U,1,1,7.8792
0,3,male,26.0,S,Mr,U,1,1,8.05
0,3,male,26.0,Q,Mr,U,2,0,7.75
0,3,male,26.0,C,Mr,U,3,0,7.226400000000001
0,3,female,18.0,S,Mrs,U,2,0,8.9
0,3,male,7.0,S,Master,U,6,0,6.614583333333333
0,3,male,21.0,S,Mr,U,1,1,7.8
1,1,female,49.0,C,Mrs,D,2,0,38.3646
1,2,female,29.0,S,Mrs,U,2,0,13.0
0,1,male,65.0,C,Mr,B,2,0,30.9896
1,1,male,40.0,S,Mr,C,1,1,35.5
1,2,female,21.0,S,Miss,U,1,1,10.5
0,3,male,28.5,C,Mr,U,1,1,7.2292
1,2,female,5.0,S,Miss,U,4,0,6.9375
0,3,male,11.0,S,Master,U,8,0,5.8625
0,3,male,22.0,C,Mr,U,1,1,7.2292
1,1,female,38.0,S,Miss,B,1,1,80.0
0,1,male,45.0,S,Mr,C,2,0,41.7375
